contentID,URL,headline,author,cmsCategories,nl_category_structured,nl_category,,,,705
www.arkansasonline.com/news/2018/jul/03/jacksonville-couple-ties-knot-disneys-fairy-tale-w/,https://www.arkansasonline.com/news/2018/jul/03/jacksonville-couple-ties-knot-disneys-fairy-tale-w/,PHOTO: Central Arkansas couple's wedding at Disney World featured on TV show,Jaime Dunaway,"/Entertainment, /News, /News/Arkansas, /News/Arkansas/Central",,,,,,
www.arkansasonline.com/news/2018/sep/10/health-reasons-behind-reporters-departure-little-r/,https://www.arkansasonline.com/news/2018/sep/10/health-reasons-behind-reporters-departure-little-r/,Reporter leaving Little Rock TV station for health reasons,Jaime Dunaway,"None/Lr, /News, /News/Arkansas, /News/Arkansas/Localmedia",/Arts & Entertainment,/Arts & Entertainment,,,,
www.arkansasonline.com/news/2018/jul/13/attorney-jailed-in-theft-case-in-court-/,https://www.arkansasonline.com/news/2018/jul/13/attorney-jailed-in-theft-case-in-court-/,Attorney jailed in theft case in court,John Lynch,"/News/Arkansas, /News/Arkansas/Crime",/Law & Government/Legal,/Law & Government/Legal,,,,
www.arkansasonline.com/news/2018/jul/24/former-arkansas-teacher-who-secretly-recorded-boys/,https://www.arkansasonline.com/news/2018/jul/24/former-arkansas-teacher-who-secretly-recorded-boys/,Former Arkansas teacher who secretly recorded boys in school bathroom gets 4 years in prison,Lynn LaRowe / The Texarkana Gazette,"/News/Arkansas, /News/Arkansas/Crime",,,,,,
www.arkansasonline.com/news/2018/aug/31/information-wanted-1997-garland-county-murders/,https://www.arkansasonline.com/news/2018/aug/31/information-wanted-1997-garland-county-murders/,"21 years after Arkansas couple found dead, authorities seeking answers",Jaime Dunaway,"/News, /News/Arkansas, /News/Arkansas/Crime",,,,,,
www.arkansasonline.com/news/2018/sep/10/ua-falls-to-78-in-colleges-rankings-201-1/,https://www.arkansasonline.com/news/2018/sep/10/ua-falls-to-78-in-colleges-rankings-201-1/,UA falls to 78 in colleges' rankings,Jaime Adame,/News/Arkansas,,,,,,
www.arkansasonline.com/news/2018/sep/23/legislators-report-loans-among-peers-20/,https://www.arkansasonline.com/news/2018/sep/23/legislators-report-loans-among-peers-20/,Arkansas legislators report loans among peers,Michael R. Wickline,"/News/Arkansas, /News/Politics/Arkansas","/Law & Government/Government, /News/Politics, /Business & Industrial","/Law & Government/Government, /News/Politics, /Business & Industrial",,,,
www.arkansasonline.com/news/2018/aug/23/ag-releases-8-pages-from-her-dhs-file-2/,https://www.arkansasonline.com/news/2018/aug/23/ag-releases-8-pages-from-her-dhs-file-2/,AG releases 8 pages from her DHS file,John Moritz,"/News/Arkansas, /News/Uselections, /News/Politics/Arkansas",,,,,,
www.arkansasonline.com/news/2018/aug/09/call-dibs-on-the-ribs-at-smoke-shack-20/,https://www.arkansasonline.com/news/2018/aug/09/call-dibs-on-the-ribs-at-smoke-shack-20/,Call dibs on the ribs at Smoke Shack,Rosemary Boggs,"/Entertainment/Dining, /Entertainment/Out-About, ",,,,,,
www.arkansasonline.com/news/2018/jul/27/girls-investigate-jobs-in-stem-at-lr-ca/,https://www.arkansasonline.com/news/2018/jul/27/girls-investigate-jobs-in-stem-at-lr-ca/,Girls investigate jobs in STEM at LR camp,Rachel Herzog,/News/Arkansas,/Science,/Science,,,,
www.arkansasonline.com/news/2018/aug/29/grubs-bar-and-grille-open-little-rock-location/,https://www.arkansasonline.com/news/2018/aug/29/grubs-bar-and-grille-open-little-rock-location/,Northwest Arkansas restaurant chain opening location in west Little Rock,Jaime Dunaway,"None/Lr, /Entertainment/Dining, /News, /News/Arkansas, /News/Arkansas/Central",/Food & Drink/Restaurants,/Food & Drink/Restaurants,,,,
www.arkansasonline.com/news/2018/sep/24/agency-says-2-headed-snake-may-go-educational-faci/,https://www.arkansasonline.com/news/2018/sep/24/agency-says-2-headed-snake-may-go-educational-faci/,Agency says 2-headed snake may go to educational facility,The Associated Press ,/Apoddities,,,,,,
www.arkansasonline.com/news/2018/aug/14/masked-burglars-hit-two-little-rock-restaurants-po/,https://www.arkansasonline.com/news/2018/aug/14/masked-burglars-hit-two-little-rock-restaurants-po/,"Masked burglars break into 2 eateries in same Little Rock shopping center, police say",Maggie McNeary,"None/Lr, /News/Arkansas, /News/Arkansas/Crime",,,,,,
