contentID,lag,min,max,count
www.arkansasonline.com/news/2018/may/15/after-layoffs-faculty-members-arkansas-university-/,32,2018-07-02,2018-08-03,16
www.arkansasonline.com/news/2018/may/31/officials-briefed-on-revised-89-prospec/,32,2018-07-08,2018-08-09,10
www.arkansasonline.com/news/2018/may/14/2-carjackings-reported-arkansas-capital-city-4-sus/,32,2018-07-08,2018-08-09,10
www.arkansasonline.com/news/2018/jul/12/daily-record-20180712/,32,2018-07-12,2018-08-13,12
www.arkansasonline.com/news/2018/jul/29/going-going-almost-gone-20180729/,32,2018-07-29,2018-08-30,10
www.arkansasonline.com/news/2018/may/21/sheriffs-office-arkansan-accused-attacking-mother-/,32,2018-07-05,2018-08-06,2
www.arkansasonline.com/news/2018/apr/26/parents-stressing-poppy-s-dangers-20180/,32,2018-07-06,2018-08-07,17
www.arkansasonline.com/news/2018/jul/20/fired-over-staffing-ask-parole-system-e/,32,2018-07-20,2018-08-21,136
www.arkansasonline.com/news/2018/apr/17/u-s-judge-frees-bad-mother-till-trial-2/,32,2018-07-06,2018-08-07,5
www.arkansasonline.com/news/2018/apr/09/hikers-find-body-north-little-rock-park-police-say/,32,2018-07-05,2018-08-06,11
www.arkansasonline.com/news/2018/jul/09/nlr-takes-up-piece-of-plan-for-land-swa/,31,2018-07-09,2018-08-09,34
www.arkansasonline.com/news/2018/jul/12/arrest-made-fatal-shooting-14-year-old-found-dead-/,31,2018-07-12,2018-08-12,148
www.arkansasonline.com/news/2018/may/17/arkansas-man-accused-stalking-killing-high-school-/,31,2018-07-03,2018-08-03,5
www.arkansasonline.com/news/2018/jul/18/katv-s-perme-to-sign-off-retiring-20180/,31,2018-07-18,2018-08-18,81
www.arkansasonline.com/news/2018/mar/27/affidavit-man-held-death-missing-arkansas-woman-sh/,31,2018-07-09,2018-08-09,8
www.arkansasonline.com/news/2018/apr/12/man-charged-in-rapes-of-2-homeless-peop/,31,2018-07-10,2018-08-10,6
www.arkansasonline.com/news/2018/jul/18/book-mormon-set-little-rocks-robinson-center-next-/,31,2018-07-18,2018-08-18,50
www.arkansasonline.com/news/2018/may/14/arkansas-native-joins-weather-channel-air-meteorol/,31,2018-07-10,2018-08-10,16
www.arkansasonline.com/news/2018/apr/06/48-year-term-set-for-hotel-arsonist-201/,31,2018-07-09,2018-08-09,2
www.arkansasonline.com/news/2018/apr/23/man-fatally-shot-during-suspected-domestic-dispute/,31,2018-07-11,2018-08-11,32
www.arkansasonline.com/news/2018/jul/26/dear-abby-visits-with-parents-bring-tea/,30,2018-07-26,2018-08-25,51
www.arkansasonline.com/news/2018/jul/25/the-fintech-hub-20180725/,30,2018-07-25,2018-08-24,46
www.arkansasonline.com/news/2018/jul/26/cuban-admits-guilt-in-state-based-scam--1/,30,2018-07-26,2018-08-25,117
www.arkansasonline.com/news/2018/apr/20/16-year-old-court-disrupter-in-adult-ja/,30,2018-07-09,2018-08-08,5
www.arkansasonline.com/news/2018/jul/14/daily-record-20180714/,30,2018-07-14,2018-08-13,10
www.arkansasonline.com/news/2018/jul/25/boyhood-director-former-saturday-night-live-cast-m/,30,2018-07-25,2018-08-24,145
www.arkansasonline.com/news/2018/jul/31/sibling-s-announcement-of-brother-s-age/,30,2018-07-31,2018-08-30,15
www.arkansasonline.com/news/2018/jul/31/video-multiple-fire-departments-respond-blaze-cent/,30,2018-07-31,2018-08-30,109
www.arkansasonline.com/news/2018/jul/22/america-s-miss-set-to-wed-mister-201807/,30,2018-07-22,2018-08-21,104
www.arkansasonline.com/news/2018/jul/02/highly-regarded-receiver-tq-jackson-commits-hogs/,30,2018-07-02,2018-08-01,62
www.arkansasonline.com/news/2018/jul/26/tae-offers-upscale-southern-comfort-201/,30,2018-07-26,2018-08-25,52
www.arkansasonline.com/news/2018/jul/07/signed-petitions-offered-to-get-3-issue/,30,2018-07-07,2018-08-06,107
www.arkansasonline.com/news/2018/jul/18/city-arkansas-discriminates-against-poor-people-mo/,30,2018-07-18,2018-08-17,55
www.arkansasonline.com/news/2018/jul/26/double-homicide/,30,2018-07-26,2018-08-25,189
www.arkansasonline.com/news/2018/jul/10/nlr-council-oks-move-to-buy-armory-2018/,30,2018-07-10,2018-08-09,7
www.arkansasonline.com/news/2018/jul/09/sheriff-ot-policy-working-20180709/,30,2018-07-09,2018-08-08,6
www.arkansasonline.com/news/2018/aug/01/long-live-nato-20180801/,29,2018-08-01,2018-08-30,16
www.arkansasonline.com/news/2018/jul/29/river-towns-20180729/,29,2018-07-29,2018-08-27,6
www.arkansasonline.com/news/2018/jul/01/democrat-gazette-editions-win-20-1st-pl/,29,2018-07-01,2018-07-30,7
www.arkansasonline.com/news/2018/may/23/lawsuits-seek-removal-ten-commandments-display-ark/,29,2018-07-02,2018-07-31,5
www.arkansasonline.com/news/2018/apr/13/will-gragg-transferring-arkansas/,29,2018-07-14,2018-08-12,3
www.arkansasonline.com/news/2018/jul/03/four-star-linebacker-expects-to-visit-f/,29,2018-07-03,2018-08-01,32
www.arkansasonline.com/news/2018/jul/03/texas-defensive-tackle-calls-hogs/,29,2018-07-03,2018-08-01,60
www.arkansasonline.com/news/2018/jul/05/work-report-deadline-near-for-medicaid-/,29,2018-07-05,2018-08-03,70
www.arkansasonline.com/news/2018/jul/25/body-found-near-bridge-central-arkansas-authoritie/,29,2018-07-25,2018-08-23,180
www.arkansasonline.com/news/2018/may/04/north-little-rock-va-worker-held-assault-patient/,29,2018-07-03,2018-08-01,7
www.arkansasonline.com/news/2018/apr/26/ua-professor-on-administrative-leave-af/,29,2018-07-11,2018-08-09,15
www.arkansasonline.com/news/2018/may/25/man-arrested-west-little-rock-home-faces-75-child-/,29,2018-07-06,2018-08-04,7
www.arkansasonline.com/news/2018/may/24/man-arrested-capital-murder-charge-central-arkansa/,29,2018-07-10,2018-08-08,5
www.arkansasonline.com/news/2018/jul/08/bankruptcy-watch-20180708/,29,2018-07-08,2018-08-06,21
www.arkansasonline.com/news/2018/may/25/auditors-flag-ua-athletics-on-guest-tra/,29,2018-07-02,2018-07-31,8
www.arkansasonline.com/news/2018/aug/02/police-woman-confessed-killing-man-found-dead-west/,29,2018-08-02,2018-08-31,166
www.arkansasonline.com/news/2018/aug/02/espn-300-safety-jalen-catalon-discusses-arkansas-t/,29,2018-08-03,2018-09-01,17
www.arkansasonline.com/news/2018/apr/06/suspect-in-arson-attempt-arrested-20180-1/,28,2018-07-11,2018-08-08,3
www.arkansasonline.com/news/2018/jul/09/trump-has-decided-his-supreme-court-nominee-big-re/,28,2018-07-09,2018-08-06,93
